Student,LPIPS,SSIM
112590017.png,0.23972651362419128,0.714367689523178
112590060.png,0.25168633460998535,0.7587846581356589
112590036.png,0.26789185404777527,0.7390376977599279
112590007.png,0.27626365423202515,0.7389794150325443
112590022.png,0.2864534556865692,0.6855590504462254
112590044.png,0.287189245223999,0.6892249973107104
112590014.png,0.29446443915367126,0.7050861796888835
112590041.png,0.2949104309082031,0.712663201839276
112590038.png,0.2987803518772125,0.6995386578709056
112590059.png,0.2990563213825226,0.7467602302673627
112590023.png,0.3009682595729828,0.7409904154214019
110590456.png,0.30247893929481506,0.674777688454324
112590020.png,0.30418631434440613,0.7118254747861883
112590030.png,0.3105332553386688,0.6898179188361079
109810011.png,0.317148357629776,0.6710764587595418
112590057.png,0.32251444458961487,0.6283798906037539
112590026.png,0.32639846205711365,0.6944922334077214
111332012.png,0.3345961272716522,0.6614205600500352
112590003.png,0.33524850010871887,0.7484493200075363
112590009.png,0.3435823619365692,0.6535858363294009
112590035.png,0.34537559747695923,0.6653900814836886
113378043.png,0.35583335161209106,0.6638365463615372
112590021.png,0.3606260120868683,0.603429309076462
112590056.png,0.36351385712623596,0.7584927670843253
112590013.png,0.3738737106323242,0.7450799624265269
112590029.png,0.3797191381454468,0.7280257834850592
112590012.png,0.3947737514972687,0.7390542653122806
112590033.png,0.4010484218597412,0.6903778676354321
110820009.png,0.40224137902259827,0.6400917299108217
111820017.jpg,0.40282800793647766,0.667571502682824
112590005.png,0.4101758301258087,0.6467917995815263
110590041.png,0.41709160804748535,0.6699167395324473
112590031.png,0.4286271631717682,0.538380547075151
112590052.png,0.43483489751815796,0.5561024645336571
112590051.png,0.4477807283401489,0.546404868148012
112ab0053.png,0.4487055838108063,0.7019409697450882
112590053.png,0.4838835597038269,0.5712678168279599
112590024.png,0.4902117848396301,0.5517327641580936
112590018.png,0.5425145626068115,0.4906494036224702
